source_id,ra,dec,theta_jet,r15,delta,theta_pred,residual_theta,logr15,failure_type,bin,geom_pred,I_BH,coupling,logr15_sq,regime,regime_bin,energy_proxy,res_abs
1226+023,187.2779,2.05241,6.6,23.5,16.8,12.2950876380431,-5.695087733410531,1.3710678622717365,normal,6,206.55746293871664,206.55746293871664,23.03394,1.8798271,HIGH,1,206.5574723191241,5.695087733410531
1253-055,194.04653,-5.78931,11.6,7.9,23.8,20.11700399594441,-8.517003614474685,0.8976270912904414,over_collimated,4,478.784679755421,478.784679755421,21.363525,0.80573446,LOW,0,478.7846951034769,8.517003614474685
1308+326,197.61943,32.3455,37.3,6.2,15.3,21.85564376750524,15.444355469555308,0.7923916894982539,over_open,3,334.3913538114634,334.3913538114634,12.123592,0.62788457,LOW,0,334.39134964283016,15.444355469555308
1413+135,213.99507,13.33992,11.1,35.9,12.1,9.254705890592966,1.8452944908767608,1.5550944485783191,normal,8,111.981944806565,111.981944806565,18.816645,2.4183187,HIGH,1,111.98194127617488,1.8452944908767608
1502+106,226.10408,10.49422,37.6,6.5,11.9,21.516596023149585,16.08340245097151,0.8129133566428556,over_open,3,256.0474844675501,256.0474844675501,9.673669,0.6608281,LOW,0,256.04749267548004,16.08340245097151
1510-089,228.21055,-9.09995,19.3,5.0,16.5,23.39910240163378,-4.099103164573233,0.6989700043360189,normal,3,386.0851896269573,386.0851896269573,11.533006,0.4885591,LOW,0,386.0851896269573,4.099103164573233
1538+149,235.20622,14.79608,22.1,9.7,4.3,18.64420833300565,3.4557920484640725,0.9867717342662448,normal,4,80.17009938802484,80.17009938802484,4.2431183,0.9737184,LOW,0,80.1700958319243,3.4557920484640725
1606+106,242.19251,10.48549,24.1,8.1,24.8,19.937615353585368,4.162385027884358,0.9084850188786496,normal,4,494.4528455577238,494.4528455577238,22.530428,0.8253451,LOW,0,494.4528607689172,4.162385027884358
1611+343,243.4211,34.21331,28.4,5.0,13.6,23.39910240163378,5.000897216896494,0.6989700043360189,normal,3,318.2278015882686,318.2278015882686,9.505993,0.4885591,LOW,0,318.2277926622194,5.000897216896494
1633+382,248.8145,38.1346,20.3,6.4,21.3,21.627840694281268,-1.327841457220721,0.8061799739838872,normal,3,460.6729902874581,460.6729902874581,17.171633,0.6499262,LOW,0,460.673006788191,1.327841457220721
1637+574,249.55607,57.33999,14.8,5.9,13.9,22.211509135534943,-7.411508944800083,0.7708520116421442,normal,3,308.73996851091744,308.73996851091744,10.714843,0.59421283,LOW,0,308.7399769839357,7.411508944800083
1641+399,250.745,39.8103,15.9,8.5,7.7,19.591758037400105,-3.691758418869832,0.9294189257142929,normal,4,150.8565331511495,150.8565331511495,7.1565256,0.86381954,LOW,0,150.8565368879808,3.691758418869832
